MORTALIDADE GERAL EXCETO CAUSAS EXTERNAS
Óbitos Residentes MSP por Fx etária de 5 em 5 anos segundo Cor
Óbitos por Covid 19: Óbitos provavelmente por COVID 19, Óbitos confirmados de COVID 19
Mês do Óbitos: Janeiro, Fevereiro, Março, Abril, Maio;
Período: 2021
"Cor";"0-4a";"5-9a";"10-14a";"15-19a";"20-24a";"25-29a";"30-34a";"35-39a";"40-44a";"45-49a";"50-54a";"55-59a";"60-64a";"65-69a";"70-74a";"75 e mais";"Ign";"Total"
"Branca";5;-;4;7;27;58;135;251;312;504;672;954;1255;1532;1512;4041;1;11270
"Preta";1;-;1;1;5;9;32;51;66;88;131;168;238;269;233;412;-;1705
"Amarela";-;-;-;-;-;1;-;1;7;6;11;20;27;43;59;191;-;366
"Parda";4;1;3;9;18;40;54;129;208;250;331;410;505;606;547;879;2;3996
"Indígena";-;-;-;-;-;-;-;1;1;-;4;1;1;3;2;5;-;18
"Não informado";-;-;-;2;1;2;3;7;20;26;26;44;53;62;74;169;1;490
"Total";10;1;8;19;51;110;224;440;614;874;1175;1597;2079;2515;2427;5697;4;17845
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM/CEInfo – SMS/SP. Data de atualização: 13/05/2021.
Nota:
1- Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2- Em acordo com orientação do Ministério da Saúde de 20/03/2020, o código U04.9 foi utilizado como marcador dos casos suspeitos de COVID 19 e o código B34.2 foi utilizado para casos confirmados da doença.
