MORTALIDADE GERAL EXCETO CAUSAS EXTERNAS
Óbitos Residentes MSP por Fx etária de 5 em 5 anos segundo Cor
Óbitos por Covid 19: Óbitos provavelmente por COVID 19, Óbitos confirmados de COVID 19;
Período: 2020-2021
"Cor";"0-4a";"5-9a";"10-14a";"15-19a";"20-24a";"25-29a";"30-34a";"35-39a";"40-44a";"45-49a";"50-54a";"55-59a";"60-64a";"65-69a";"70-74a";"75 e mais";"Ign";"Total"
"Branca";19;8;9;21;45;64;150;219;310;405;644;1021;1511;1879;2132;9069;3;17509
"Preta";1;1;1;4;10;13;30;55;83;103;147;207;295;346;330;928;2;2556
"Amarela";-;-;-;1;-;1;-;2;3;9;11;30;36;53;79;415;-;640
"Parda";18;6;6;18;32;48;97;154;257;308;451;525;741;823;840;2038;2;6364
"Indígena";1;-;1;-;-;-;1;-;-;1;-;2;-;2;3;8;-;19
"Não informado";2;-;-;3;5;1;3;15;20;32;43;77;90;102;107;395;2;897
"Total";41;15;17;47;92;127;281;445;673;858;1296;1862;2673;3205;3491;12853;9;27985
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM/CEInfo – SMS/SP. Data de atualização: 11/03/2021.
Nota:
1- Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2- Em acordo com orientação do Ministério da Saúde de 20/03/2020, o código U04.9 foi utilizado como marcador dos casos suspeitos de COVID 19 e o código B34.2 foi utilizado para casos confirmados da doença.
