MORTALIDADE GERAL EXCETO CAUSAS EXTERNAS
Óbitos Residentes MSP por Semana epidemiológica segundo Cor
Óbitos por Covid 19: Óbitos provavelmente por COVID 19, Óbitos confirmados de COVID 19
Período: 2020-2021
"Cor";"SE 20 08";"SE 20 11";"SE 20 12";"SE 20 13";"SE 20 14";"SE 20 15";"SE 20 16";"SE 20 17";"SE 20 18";"SE 20 19";"SE 20 20";"SE 20 21";"SE 20 22";"SE 20 23";"SE 20 24";"SE 20 25";"SE 20 26";"SE 20 27";"SE 20 28";"SE 20 29";"SE 20 30";"SE 20 31";"SE 20 32";"SE 20 33";"SE 20 34";"SE 20 35";"SE 20 36";"SE 20 37";"SE 20 38";"SE 20 39";"SE 20 40";"SE 20 41";"SE 20 42";"SE 20 43";"SE 20 44";"SE 20 45";"SE 20 46";"SE 20 47";"SE 20 48";"SE 20 49";"SE 20 50";"SE 20 51";"SE 20 52";"SE 20 53";"SE 21 01";"SE 21 02";"SE 21 03";"SE 21 04";"SE 21 05";"SE 21 06";"SE 21 07";"SE 21 08";"SE 21 09";"SE 21 10";"Total"
"Branca";1;3;48;178;361;439;442;500;637;618;687;668;691;659;659;560;490;426;440;442;410;356;378;334;283;303;239;240;212;164;176;137;106;93;105;106;138;159;192;227;263;302;285;283;339;357;381;351;333;305;265;306;388;44;17509
"Preta";-;-;2;15;55;65;55;78;104;86;121;85;107;117;112;97;77;77;60;69;62;42;41;52;43;28;35;31;35;27;23;20;20;18;9;14;16;16;30;27;40;39;44;38;38;55;61;49;52;33;35;42;50;9;2556
"Amarela";-;-;2;10;16;17;19;28;24;30;18;19;19;22;24;15;16;21;11;19;5;13;18;11;12;11;11;11;6;5;5;4;7;4;6;2;6;10;9;8;11;11;15;20;10;12;5;15;11;8;4;10;13;1;640
"Parda";-;-;5;37;127;171;187;207;284;304;300;328;272;262;270;210;176;157;151;142;150;130;143;132;104;88;81;85;66;54;55;56;47;32;37;38;42;48;50;77;66;83;81;83;93;104;105;124;122;71;85;102;120;20;6364
"Indígena";-;-;-;1;-;2;-;1;-;2;1;1;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;19
"Não informado";-;-;-;12;17;25;28;22;41;41;40;34;36;45;30;36;17;19;15;30;30;26;14;26;12;12;18;7;9;8;11;5;7;6;7;3;3;1;7;9;15;16;11;11;19;15;14;13;14;15;10;15;17;3;897
"Total";1;3;57;253;576;719;731;836;1090;1081;1167;1135;1125;1106;1096;919;776;700;677;703;657;567;594;555;454;442;384;375;328;259;270;222;187;153;164;164;205;234;288;348;396;451;436;435;499;543;567;552;533;432;399;475;589;77;27985
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM/CEInfo – SMS/SP. Data de atualização: 11/03/2021.
Nota:
1- Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2- Em acordo com orientação do Ministério da Saúde de 20/03/2020, o código U04.9 foi utilizado como marcador dos casos suspeitos de COVID 19 e o código B34.2 foi utilizado para casos confirmados da doença.
